Starting data and time	Saturday 30 May 2020 (15:16:35)
Ending date and time	Saturday 30 May 2020 (15:16:47)
Time consumed	0 hours, 0 minutes, and 11 seconds
Number of datasets	1
Total number of input genes	1174
Genes included in the analysis	1174
Genes filtered out from the analysis	0
Number of clusters	11
Total number of genes in clusters	693
Genes not included in any cluster	481
Min cluster size	25
Max cluster size	138
Average cluster size	63.0
Number of samples (including replicates)	14
Number of conditions	7
