A	infection	infection	infection	F	F.p.value
A1BG	2.82760873923767	1.30464392358429	5.08350709972881	0.000277905620671869	25.8420444329932	0.00027790562067187
A2M	9.06668354690899	0.871851236084211	4.33686766795474	0.000990085912780517	18.8084211693511	0.000990085912780517
A2ML1	6.41971446610973	-3.04826900187	-4.13773760957005	0.0014062085829984	17.1208725256505	0.0014062085829984
A2MP1	0.429710095650907	1.58688482691443	3.19436392954902	0.00780548125975091	10.2039609144039	0.00780548125975091
A4GALT	2.17706247677667	-0.637910538293415	-1.96121775185316	0.0737255596771064	3.84637507018398	0.0737255596771064
AAAS	4.21696667481317	0.590304226496395	2.75496538154327	0.0175862333296326	7.58983425350186	0.0175862333296326
AACS	5.37816139667983	-1.4771444188895	-11.2764715200396	1.06500129926373e-07	127.158809942263	1.06500129926373e-07
AADAC	1.49794761384203	-3.91469489901466	-5.95886578135683	6.91147400388163e-05	35.5080814002253	6.91147400388163e-05
AADACL2	3.95110228341025	-4.74796987205617	-3.72727989644653	0.00293801585284957	13.8926154264544	0.00293801585284957
AADAT	0.650220181193638	-0.703566106020954	-2.21273640296366	0.0472693992184871	4.89620238900056	0.0472693992184871
AAED1	4.89455993100469	0.92250274062182	4.53586904463288	0.000700637844292229	20.5741079900588	0.00070063784429223
AAGAB	5.47597935241025	0.463929159094696	3.04794771446672	0.0102317493079555	9.28998527012289	0.0102317493079555
AAK1	6.01709739117051	0.695286398049202	3.87150079515829	0.00226351934134361	14.9885184069113	0.00226351934134362
AAMDC	3.39696739974795	-1.37079413900219	-6.9507577640072	1.62297449851915e-05	48.3130334939064	1.62297449851915e-05
AAMP	6.34053336319558	-0.260122380050966	-1.20957652710036	0.249968665930415	1.46307537491216	0.249968665930415
AAR2	4.96324378419655	-0.143976563490245	-0.982215059796169	0.345580303515941	0.964746423690392	0.345580303515941
AARD	1.3042192424633	-2.05175386099224	-6.41167836615169	3.50895350293977e-05	41.1096194709775	3.50895350293977e-05
AARS	5.68072036800891	0.0868927911123398	0.490471029246518	0.632736951317548	0.240561830530139	0.632736951317548
AARS2	4.29289227337058	0.415951753586244	2.93269947884125	0.0126630939427225	8.60072623319574	0.0126630939427225
AARSD1	3.14166199998148	-0.209404696934346	-1.03355257939243	0.321933428695155	1.06823093436874	0.321933428695155
AASDH	4.34283465688074	-0.265822919215591	-1.17276750364124	0.263875281814719	1.3753836175969	0.263875281814719
AASDHPPT	5.59915432849737	0.0249677263712185	0.164888349170536	0.8718050830204	0.0271881676921848	0.8718050830204
AASS	3.95858479884356	-0.593791085285718	-2.85920919845336	0.014506328933187	8.17507724052029	0.014506328933187
AATF	5.34861307657637	0.105320116622415	0.695159650749636	0.500330731201748	0.483246940030356	0.500330731201748
AATK	1.35118871204084	0.146187655212206	0.452136999536612	0.659317262362687	0.20442786634997	0.659317262362687
AB019441.29	0.88271871942906	-0.838941366516672	-3.05079359035492	0.0101780293300756	9.30734153095067	0.0101780293300756
ABAT	3.43357173541263	0.379533311681787	1.75547475914397	0.104910742212859	3.08169162999159	0.104910742212859
ABC13-48559800H2.1	0.113890135711421	0.529951839346628	1.17071655651783	0.264667563925158	1.37057725570498	0.264667563925158
ABC7-42404400C24.1	1.68003447585744	-0.749740564419116	-2.32973184265332	0.0382939171543564	5.42765045867285	0.0382939171543564
ABCA1	8.28889325538769	1.29351005870117	6.65981138308394	2.4489311309958e-05	44.3530876582545	2.4489311309958e-05
ABCA10	3.27725484749261	-2.73724983881428	-4.85619681997116	0.000405925729547023	23.582647554298	0.000405925729547023
ABCA11P	1.91118350786955	-1.43089494797839	-5.50045671349486	0.000141321023731438	30.2550240570306	0.000141321023731438
ABCA12	6.54958751728215	-2.53642010776964	-4.03640461337412	0.00168402883399673	16.2925622028679	0.00168402883399673
ABCA13	1.89439282241113	-0.757108803920625	-1.96398059540134	0.0733717717541156	3.85721977911302	0.0733717717541156
ABCA17P	0.00882922945181464	-0.0979020927000604	-0.204826057713212	0.841176389868363	0.0419537139183362	0.841176389868363
ABCA2	5.19241005927969	0.997986457752487	3.5704298042855	0.00390951216493874	12.7479689873302	0.00390951216493874
ABCA3	3.26846853401156	-1.48408996815433	-9.04178013605099	1.13629907237317e-06	81.7537880286862	1.13629907237317e-06
ABCA4	0.224728440700861	-3.30437116247551	-5.48453601643989	0.000144952563063476	30.0801353156264	0.000144952563063476
ABCA5	6.1117291973998	-1.39808259043914	-4.60652400328134	0.000620441511769382	21.2200633928072	0.000620441511769382
ABCA6	5.21397872049327	-1.56900292067453	-3.99664866288075	0.00180801246691912	15.9732005345065	0.00180801246691912
ABCA7	4.35482907186569	0.919926922590449	4.38447131327351	0.000911070845150561	19.2235886969183	0.000911070845150561
ABCA8	4.84886515429944	-2.59977754202747	-7.39275878375942	8.86849385998939e-06	54.6528824348521	8.86849385998939e-06
ABCA9	4.55246098816541	-1.54677744122314	-4.27382806434902	0.00110583635089605	18.2656063236173	0.00110583635089605
ABCB1	3.19857889778448	0.206093626705324	0.479058336849742	0.640596721596575	0.22949689010524	0.640596721596575
ABCB10	4.73116987546432	0.358096319280315	2.49705498025133	0.028247867844249	6.23528357439796	0.028247867844249
ABCB4	2.51105556562587	0.35285266287336	1.35675336522042	0.200088265042292	1.84077969403694	0.200088265042292
ABCB5	0.437715931630202	-0.566943605269544	-1.02426877661281	0.326119280822398	1.0491265267439	0.326119280822398
ABCB6	3.57758948056322	-0.485502531538455	-2.07153031347311	0.0607619440241122	4.29123783963801	0.0607619440241122
ABCB7	4.30002864570104	-0.502580909331586	-3.59101562915416	0.00376523216395799	12.8953932488294	0.00376523216395799
ABCB8	4.32152409414233	0.360982396300967	2.71102862255161	0.0190704535381956	7.34967619229409	0.0190704535381956
ABCB9	2.71201169719308	-0.336790110981731	-1.36197785757352	0.198479454538929	1.85498368452055	0.198479454538929
ABCC1	5.66166571911114	0.866311195648569	5.80002039132732	8.8259413199052e-05	33.6402365398127	8.8259413199052e-05
ABCC10	4.39199398531967	0.658248400339086	3.62177820179521	0.00355969930294357	13.117277342999	0.00355969930294357
ABCC11	1.79607832014472	-0.0498422561992014	-0.21154147856829	0.836051363382601	0.0447497971548581	0.836051363382601
ABCC2	0.566535945267524	-0.0115464835428772	-0.0140374233810046	0.98903317854451	0.000197049255177574	0.98903317854451
ABCC3	4.08263972657113	0.13157851668546	0.588949577618993	0.566928704688349	0.34686160497759	0.566928704688349
ABCC4	3.77097281168448	-0.329126133015433	-0.817631804129018	0.429665959437577	0.668521767123274	0.429665959437577
ABCC5	4.75580979300071	-0.675666907719475	-2.94500947803229	0.0123780127805717	8.67308082570004	0.0123780127805717
ABCC6	1.55776520007943	-1.50642424081417	-3.3902741984159	0.00543960696065457	11.4939591404446	0.00543960696065457
ABCC9	6.45759893937898	-0.684819867901004	-1.81721091617294	0.0944861103653801	3.3022555138581	0.0944861103653801
ABCD1	3.45823184466249	1.58077565130257	8.53468420196314	2.07150535167714e-06	72.8408344272392	2.07150535167714e-06
ABCD2	4.12527887174179	-0.359918927130733	-0.675733762334503	0.512153093820264	0.456616117558743	0.512153093820264
ABCD3	6.31471442745643	-1.29925788562937	-8.06558321930411	3.6981713429325e-06	65.0536326675201	3.6981713429325e-06
ABCD4	4.33269387841024	0.125853467549804	0.675027226522091	0.51258617037168	0.455661756546106	0.51258617037168
ABCE1	6.88194345303923	0.383722528929076	2.38332700834179	0.0347502584073397	5.68024762869141	0.0347502584073397
ABCF1	5.73965475501486	-0.481895449301385	-1.97802874547194	0.0715970038179289	3.9125977179133	0.0715970038179289
ABCF2	5.69523031491519	0.115877193208442	0.600211511778813	0.559644130984859	0.360253858871808	0.559644130984859
ABCF3	4.89386657206167	-0.507455369011314	-2.47708793238101	0.0292971228335679	6.13596462474761	0.0292971228335679
ABCG1	5.64040987949353	1.38726242298079	7.81678807468854	5.07905379106352e-06	61.1021758045929	5.07905379106353e-06
ABCG2	1.56402816075689	-0.444645164111278	-1.10336514367146	0.291723830194364	1.21741464026914	0.291723830194364
ABHD1	1.5698954165387	-0.00374537060821378	-0.0101128243870847	0.992099159805414	0.000102269217084016	0.992099159805414
ABHD10	4.66479321305279	-0.281997512857371	-2.12579875373183	0.0551963731189064	4.5190203413678	0.0551963731189064
ABHD11	3.04329835788682	-0.303079193433058	-1.44199825931535	0.175149990803992	2.0793589798685	0.175149990803992
ABHD12	5.37261831707661	0.252118975374043	1.24223200090956	0.238121297241963	1.54314034408377	0.238121297241963
ABHD12B	3.46691046144766	-2.29080097200597	-7.35541410452516	9.32433444418601e-06	54.1021166490477	9.32433444418601e-06
ABHD13	4.56042294601261	-0.784796662451073	-2.29978326933662	0.0404224580041015	5.28900308592065	0.0404224580041015
ABHD14A	2.42388849930802	0.203076207513225	0.823335192992271	0.426541462434298	0.67788084001962	0.426541462434298
ABHD14A-ACY1	0.457991210568968	0.900777710458156	1.98224985013292	0.0710715361771959	3.92931446835199	0.0710715361771959
ABHD14B	4.85441982831964	-0.46279906833971	-2.71943059223896	0.0187773836919773	7.39530274600513	0.0187773836919773
ABHD15	4.35918569364429	0.93362973262162	4.99350122854824	0.000322613059013233	24.9350545195128	0.000322613059013233
ABHD16A	5.28898284761488	1.35356584910075	8.74854509238026	1.60292363546203e-06	76.5370412334108	1.60292363546203e-06
ABHD16B	0.979090766851947	2.05120533662449	6.92301814784425	1.68709942706645e-05	47.9281802753809	1.68709942706645e-05
ABHD17A	6.22989156555638	0.761857488766846	2.70947756762357	0.0191250466786203	7.34126868945531	0.0191250466786203
ABHD17B	4.86208418141427	-0.201102928222499	-0.796500550800783	0.441372815296678	0.63441312742595	0.441372815296678
ABHD17C	3.9266822226105	-0.0774240645105335	-0.258116164561033	0.800735760448781	0.0666239544076983	0.800735760448781
ABHD18	4.06265014169419	0.912586554287511	4.54106572819389	0.000694386219611066	20.6212779477771	0.000694386219611066
ABHD2	7.39440417946588	0.90630126457799	4.63752943297796	0.000588333090478677	21.5066792417369	0.000588333090478677
ABHD3	3.86800802179513	1.64620672750824	6.39045310621025	3.61997393193439e-05	40.8378909026722	3.6199739319344e-05
ABHD4	4.00296698082984	-0.650588349665503	-3.1782682706753	0.0080410394340486	10.1013892003813	0.0080410394340486
ABHD5	3.10746141998649	-0.868807188494408	-3.10180116795525	0.00926177240579565	9.62117048552855	0.00926177240579565
ABHD6	4.29663485344416	-1.26068780039514	-5.03979879582086	0.000298742363090082	25.3995719023574	0.000298742363090081
ABHD8	3.38614287737303	0.678350543576097	2.25586760943545	0.0437492683209685	5.08893867130001	0.0437492683209685
